,COUNTYNAME,Year,Provisional Drug Overdose Deaths,Coordinates
0,Adams,2020,132,"[[[-83.271, 39.016], [-83.268, 38.861], [-83.268, 38.616], [-83.287, 38.6], [-83.307, 38.599], [-83.319, 38.609], [-83.33, 38.639], [-83.37, 38.659], [-83.398, 38.664], [-83.46, 38.671], [-83.503, 38.698], [-83.523, 38.702], [-83.539, 38.701], [-83.582, 38.69], [-83.612, 38.685], [-83.628, 38.676], [-83.636, 38.661], [-83.642, 38.636], [-83.657, 38.626], [-83.668, 38.626], [-83.705, 38.639], [-83.697, 38.762], [-83.673, 39.02], [-83.612, 39.018], [-83.512, 39.037], [-83.386, 39.055], [-83.315, 39.052], [-83.306, 39.043], [-83.271, 39.016]]]"
1,Adams,2021,188,"[[[-83.271, 39.016], [-83.268, 38.861], [-83.268, 38.616], [-83.287, 38.6], [-83.307, 38.599], [-83.319, 38.609], [-83.33, 38.639], [-83.37, 38.659], [-83.398, 38.664], [-83.46, 38.671], [-83.503, 38.698], [-83.523, 38.702], [-83.539, 38.701], [-83.582, 38.69], [-83.612, 38.685], [-83.628, 38.676], [-83.636, 38.661], [-83.642, 38.636], [-83.657, 38.626], [-83.668, 38.626], [-83.705, 38.639], [-83.697, 38.762], [-83.673, 39.02], [-83.612, 39.018], [-83.512, 39.037], [-83.386, 39.055], [-83.315, 39.052], [-83.306, 39.043], [-83.271, 39.016]]]"
2,Adams,2022,209,"[[[-83.271, 39.016], [-83.268, 38.861], [-83.268, 38.616], [-83.287, 38.6], [-83.307, 38.599], [-83.319, 38.609], [-83.33, 38.639], [-83.37, 38.659], [-83.398, 38.664], [-83.46, 38.671], [-83.503, 38.698], [-83.523, 38.702], [-83.539, 38.701], [-83.582, 38.69], [-83.612, 38.685], [-83.628, 38.676], [-83.636, 38.661], [-83.642, 38.636], [-83.657, 38.626], [-83.668, 38.626], [-83.705, 38.639], [-83.697, 38.762], [-83.673, 39.02], [-83.612, 39.018], [-83.512, 39.037], [-83.386, 39.055], [-83.315, 39.052], [-83.306, 39.043], [-83.271, 39.016]]]"
3,Adams,2023,223,"[[[-83.271, 39.016], [-83.268, 38.861], [-83.268, 38.616], [-83.287, 38.6], [-83.307, 38.599], [-83.319, 38.609], [-83.33, 38.639], [-83.37, 38.659], [-83.398, 38.664], [-83.46, 38.671], [-83.503, 38.698], [-83.523, 38.702], [-83.539, 38.701], [-83.582, 38.69], [-83.612, 38.685], [-83.628, 38.676], [-83.636, 38.661], [-83.642, 38.636], [-83.657, 38.626], [-83.668, 38.626], [-83.705, 38.639], [-83.697, 38.762], [-83.673, 39.02], [-83.612, 39.018], [-83.512, 39.037], [-83.386, 39.055], [-83.315, 39.052], [-83.306, 39.043], [-83.271, 39.016]]]"
4,Allen,2020,322,"[[[-83.88, 40.645], [-84.051, 40.644], [-84.108, 40.643], [-84.108, 40.658], [-84.222, 40.657], [-84.223, 40.686], [-84.397, 40.685], [-84.398, 40.816], [-84.34, 40.816], [-84.341, 40.859], [-84.286, 40.86], [-84.11, 40.861], [-84.11, 40.904], [-83.995, 40.905], [-83.995, 40.92], [-83.88, 40.921], [-83.88, 40.82], [-83.88, 40.732], [-83.88, 40.645]]]"
5,Allen,2021,368,"[[[-83.88, 40.645], [-84.051, 40.644], [-84.108, 40.643], [-84.108, 40.658], [-84.222, 40.657], [-84.223, 40.686], [-84.397, 40.685], [-84.398, 40.816], [-84.34, 40.816], [-84.341, 40.859], [-84.286, 40.86], [-84.11, 40.861], [-84.11, 40.904], [-83.995, 40.905], [-83.995, 40.92], [-83.88, 40.921], [-83.88, 40.82], [-83.88, 40.732], [-83.88, 40.645]]]"
6,Allen,2022,469,"[[[-83.88, 40.645], [-84.051, 40.644], [-84.108, 40.643], [-84.108, 40.658], [-84.222, 40.657], [-84.223, 40.686], [-84.397, 40.685], [-84.398, 40.816], [-84.34, 40.816], [-84.341, 40.859], [-84.286, 40.86], [-84.11, 40.861], [-84.11, 40.904], [-83.995, 40.905], [-83.995, 40.92], [-83.88, 40.921], [-83.88, 40.82], [-83.88, 40.732], [-83.88, 40.645]]]"
7,Allen,2023,549,"[[[-83.88, 40.645], [-84.051, 40.644], [-84.108, 40.643], [-84.108, 40.658], [-84.222, 40.657], [-84.223, 40.686], [-84.397, 40.685], [-84.398, 40.816], [-84.34, 40.816], [-84.341, 40.859], [-84.286, 40.86], [-84.11, 40.861], [-84.11, 40.904], [-83.995, 40.905], [-83.995, 40.92], [-83.88, 40.921], [-83.88, 40.82], [-83.88, 40.732], [-83.88, 40.645]]]"
8,Ashland,2020,87,"[[[-82.129, 40.992], [-82.127, 40.778], [-82.126, 40.668], [-82.221, 40.668], [-82.22, 40.568], [-82.337, 40.555], [-82.339, 40.727], [-82.378, 40.727], [-82.378, 40.788], [-82.39, 40.797], [-82.388, 40.808], [-82.408, 40.808], [-82.417, 40.814], [-82.415, 40.828], [-82.418, 40.993], [-82.433, 40.993], [-82.437, 41.065], [-82.337, 41.066], [-82.171, 41.064], [-82.174, 40.992], [-82.129, 40.992]]]"
9,Ashland,2021,242,"[[[-82.129, 40.992], [-82.127, 40.778], [-82.126, 40.668], [-82.221, 40.668], [-82.22, 40.568], [-82.337, 40.555], [-82.339, 40.727], [-82.378, 40.727], [-82.378, 40.788], [-82.39, 40.797], [-82.388, 40.808], [-82.408, 40.808], [-82.417, 40.814], [-82.415, 40.828], [-82.418, 40.993], [-82.433, 40.993], [-82.437, 41.065], [-82.337, 41.066], [-82.171, 41.064], [-82.174, 40.992], [-82.129, 40.992]]]"
10,Ashland,2022,137,"[[[-82.129, 40.992], [-82.127, 40.778], [-82.126, 40.668], [-82.221, 40.668], [-82.22, 40.568], [-82.337, 40.555], [-82.339, 40.727], [-82.378, 40.727], [-82.378, 40.788], [-82.39, 40.797], [-82.388, 40.808], [-82.408, 40.808], [-82.417, 40.814], [-82.415, 40.828], [-82.418, 40.993], [-82.433, 40.993], [-82.437, 41.065], [-82.337, 41.066], [-82.171, 41.064], [-82.174, 40.992], [-82.129, 40.992]]]"
